Veldnaam;Veldnaam_export;In_gebruik;Veldtype;p_na;lower;upper;pattern;Uniek;;
INS_Instelling;INS_Instelling;TRUE;subset;9,232413;NA;NA;NA;FALSE;;
INS_Versie_1CHO_jaar;INS_Versie_1CHO_jaar;TRUE;numeric;9,201656;1817,1;2220,9;NA;FALSE;;
INS_Studentnummer;INS_Studentnummer;TRUE;numeric;9,201656;6777;9999999;NA;FALSE;;
INS_Inschrijvingsjaar;INS_Inschrijvingsjaar;TRUE;numeric;9,201656;1809;2220,9;NA;FALSE;;
INS_Inschrijvingsjaar_EOI;INS_EOI;TRUE;numeric;9,945008;1788,3;2220,9;NA;FALSE;;
INS_Studierichting_SAP_numeriek;INS_Studierichting - Key;TRUE;numeric;9,232413;45039211,2;57085083;NA;FALSE;;
INS_Soort_inschrijving_1CHO_code;INS_Soort_inschrijving_HO;TRUE;numeric;9,201656;0,9;5,5;NA;FALSE;;
INS_Soort_inschrijving_actuele_instelling;INS_Soort_inschrijving_actuele_instelling;TRUE;numeric;9,201656;0,9;5,5;NA;FALSE;;
INS_Opleidingsfase_actueel;INS_Opleidingsfase_actueel;TRUE;subset;9,201656;NA;NA;NA;FALSE;;
INS_Indicatie_actief_op_peildatum;INS_Indicatie_actief_op_peildatum;TRUE;numeric;9,201656;0,9;4,4;NA;FALSE;;
INS_Opleidingscode_actueel;INS_Opleidingscode_actueel;TRUE;numeric;9,201656;5000;80000;NA;FALSE;;
INS_Opleidingsnaam_2002;INS_Opleidingscode_actueel - Lange tekst;TRUE;character;9,201656;NA;NA;NA;FALSE;;
INS_Indicatie_eerste_jaars_opleiding;INS_Indicatie_eerste_jaars_opleiding;TRUE;numeric;9,201656;0,9;5,5;NA;FALSE;;
INS_Indicatie_eerste_jaars_instelling;INS_Indicatie_eerste_jaars_instelling;TRUE;numeric;9,201656;0,9;5,5;NA;FALSE;;
INS_Indicatie_eerste_jaars_opleiding_en_instelling;INS_Indicatie_eerste_jaars_opleiding_en_instelling;TRUE;numeric;9,201656;0,9;5,5;NA;FALSE;;
INS_Eerste_jaar_opleiding_en_instelling;INS_Eerste_jaar_opleiding_en_instelling;TRUE;numeric;9,201656;1783,8;2220,9;NA;FALSE;;
INS_Eerste_jaar_hoger_onderwijs;INS_Eerste_jaar_hoger_onderwijs;TRUE;numeric;9,201656;1767,6;2220,9;NA;FALSE;;
INS_Eerste_jaar_soort_hoger_onderwijs;INS_Eerste_jaar_soort_hoger_onderwijs;TRUE;numeric;9,201656;1767,6;2220,9;NA;FALSE;;
INS_Vooropleiding_voor_HO_code;INS_Vooropleiding_voor_HO_code;TRUE;numeric;11,878679;96,3;556,6;NA;FALSE;;
INS_Vooropleiding_voor_HO_jaar;INS_Vooropleiding_voor_HO_jaar;TRUE;numeric;67,106358;1770,3;2219,8;NA;FALSE;;
INS_Vooropleiding_voor_HO_cat;INS_Vooropleiding_voor_HO_Soort;TRUE;subset;19,201656;NA;NA;NA;FALSE;;
