Veldnaam;Veldnaam_export;In_gebruik;Veldtype;p_na;lower;upper;pattern;Uniek;Opmerkingen
INS_Opleidingscode_actueel;OPLCODEACT;TRUE;numeric;0;;;;TRUE;
INS_Eerste_jaar_opleiding_en_instelling;EOIJAAR;TRUE;numeric;0;;;;TRUE;
INS_Studentnummer;STUDENT_CD;TRUE;numeric;0;;;;TRUE;
INS_Herinschrijving_na_1_jaar;HER1;TRUE;numeric;13,6939174;;;;FALSE;
INS_Herinschrijving_na_2_jaar;HER2;TRUE;numeric;26,6362413;;;;FALSE;
INS_Herinschrijving_na_3_jaar;HER3;TRUE;numeric;38,9830279;;;;FALSE;
INS_Herinschrijving_na_4_jaar;HER4;TRUE;numeric;49,9654716;;;;FALSE;
INS_Herinschrijving_na_5_jaar;HER5;TRUE;numeric;62,0265379;;;;FALSE;
INS_Herinschrijving_na_6_jaar;HER6;TRUE;numeric;73,5655049;;;;FALSE;
INS_Herinschrijving_na_7_jaar;HER7;TRUE;numeric;85,5657553;;;;FALSE;
INS_Herinschrijving_na_8_jaar;HER8;TRUE;numeric;97,9171317;;;;FALSE;
INS_Examen_na_1_jaar;EX1;TRUE;character;13,6939174;;;;FALSE;
INS_Examen_na_2_jaar;EX2;TRUE;character;26,6362413;;;;FALSE;
INS_Examen_na_3_jaar;EX3;TRUE;character;38,9830279;;;;FALSE;
INS_Examen_na_4_jaar;EX4;TRUE;character;49,9654716;;;;FALSE;
INS_Examen_na_5_jaar;EX5;TRUE;character;62,0265379;;;;FALSE;
INS_Examen_na_6_jaar;EX6;TRUE;character;73,5655049;;;;FALSE;
INS_Examen_na_7_jaar;EX7;TRUE;character;85,5657553;;;;FALSE;
INS_Examen_na_8_jaar;EX8;TRUE;character;97,9171317;;;;FALSE;
INS_Examen_na_9_jaar;EX9;TRUE;character;100;;;;FALSE;
;EX10;TRUE;character;100;;;;FALSE;We mogen niet meer dan 10 jaar terug
INS_Soort_eerstejaars_code;EJR;TRUE;numeric;0;;;;FALSE;
;INDACTIEF;FALSE;;0;;;;FALSE;
;HOOP;FALSE;;0;;;;FALSE;
;OPLFASE;FALSE;;0;;;;FALSE;
;TYPEFASE;FALSE;;0;;;;FALSE;
;OPLVORM;FALSE;;0;;;;FALSE;
;VOOROPLEIDING;FALSE;;0;;;;FALSE;
;INSCHRMAANDVAN;FALSE;;0;;;;FALSE;
INS_Aantal_inschrijvingen_in_HO;VOORKOMEN;TRUE;numeric;0;;;;FALSE;
INS_Examen_gelijke_fase;EXGF;TRUE;character;52,5335114;;;;FALSE;
INS_Jaar_examen_gelijke_fase;JREXGF;TRUE;numeric;52,5335114;;;;FALSE;
INS_Examen_ongelijke_fase;EXOF;TRUE;character;92,293377;;;;FALSE;
INS_Jaar_examen_ongelijke_fase;JREXOF;TRUE;numeric;92,293377;;;;FALSE;
;TYPEHO;FALSE;;0;;;;FALSE;
;SIHO;FALSE;;0;;;;FALSE;
;SISOORTHO;FALSE;;0;;;;FALSE;
;SITYPEHO;FALSE;;0;;;;FALSE;
;SIACTOPL;FALSE;;0;;;;FALSE;
;SIACTINST;FALSE;;0;;;;FALSE;
;SIACTOPLINST;FALSE;;0;;;;FALSE;
;VBJAARSRTHO;FALSE;;0;;;;FALSE;
;EERSTEJRHO;FALSE;;0;;;;FALSE;
;EERSTEJAARSRTHO;FALSE;;0;;;;FALSE;
;EERSTEJROPLINST;FALSE;;0;;;;FALSE;
;VOOROPLVOORHO;FALSE;;0;;;;FALSE;
;VOOROPLVOORHOJAAR;FALSE;;0;;;;FALSE;
;VOOROPLVOORHOINST;FALSE;;17,6767888;;;;FALSE;
;VOOROPLBINNENHO;FALSE;;0;;;;FALSE;
;VOOROPLBINNENHOJAAR;FALSE;;0;;;;FALSE;
;VOOROPL;FALSE;;0;;;;FALSE;
;VOOROPLJAAR;FALSE;;0;;;;FALSE;
;GESLACHT;FALSE;;0;;;;FALSE;
;LFT1JAN;FALSE;;0;;;;FALSE;
;NATIONALITEIT1;FALSE;;0,1147471;;;;FALSE;
;VERSIEJAAR;FALSE;;0;;;;FALSE;
;OPLCODEHIST;FALSE;;0;;;;FALSE;
;ISCED2013;FALSE;;0;;;;FALSE;
;Faculteit;FALSE;;0;;;;FALSE;
SUC_Diploma_herinschrijvers_binnen_1_jaar;;FALSE;;0;;;;FALSE;
SUC_Diploma_herinschrijvers_binnen_2_jaar;;FALSE;;0;;;;FALSE;
SUC_Diploma_herinschrijvers_binnen_3_jaar;;FALSE;;0;;;;FALSE;
SUC_Diploma_herinschrijvers_binnen_4_jaar;;FALSE;;0;;;;FALSE;
SUC_Diploma_herinschrijvers_binnen_5_jaar;;FALSE;;0;;;;FALSE;
SUC_Switch_binnen_de_VU_na_jaar_1;;FALSE;;0;;;;FALSE;
SUC_Switch_binnen_de_VU_na_jaar_2;;FALSE;;0;;;;FALSE;
SUC_Switch_binnen_de_VU_na_jaar_3;;FALSE;;0;;;;FALSE;
SUC_Uitval_instelling_na_jaar_1;;FALSE;;0;;;;FALSE;
SUC_Uitval_instelling_na_jaar_2;;FALSE;;0;;;;FALSE;
SUC_Uitval_instelling_na_jaar_3;;FALSE;;0;;;;FALSE;
SUC_Uitval_na_jaar_1;;FALSE;;0;;;;FALSE;
SUC_Uitval_na_jaar_2;;FALSE;;0;;;;FALSE;
SUC_Uitval_na_jaar_3;;FALSE;;0;;;;FALSE;
;VERSIE;TRUE;numeric;0;;;;FALSE;
