"Kolomnaam";"Waarde"
"INS_Instelling";"EUR"
"INS_Instelling";"PThU"
"INS_Instelling";"UvA"
"INS_Instelling";"VU"
"INS_Opleidingsfase_actueel";"M"
"INS_Opleidingsfase_actueel";"B"
"INS_Opleidingsfase_actueel";"S"
"INS_Opleidingsfase_actueel";"Q"
"INS_Opleidingsfase_actueel";"I"
"INS_Opleidingsfase_actueel";"Z"
"INS_Vooropleiding_voor_HO_Soort";"overig"
"INS_Vooropleiding_voor_HO_Soort";"vwo"
"INS_Vooropleiding_voor_HO_Soort";"havo"
"INS_Vooropleiding_voor_HO_Soort";"mbo"
"INS_Vooropleiding_voor_HO_Soort";"vmbo"
"INS_Vooropleiding_voor_HO_Soort";"vbo"
"INS_Vooropleiding_binnen_HO_soort";"wo-on/ma"
"INS_Vooropleiding_binnen_HO_soort";"hbo-p"
"INS_Vooropleiding_binnen_HO_soort";"wo-ba"
"INS_Vooropleiding_binnen_HO_soort";"wo-vo/ma/bf"
"INS_Vooropleiding_binnen_HO_soort";"hbo-ba"
"INS_Vooropleiding_binnen_HO_soort";"wo-p"
"INS_Vooropleiding_binnen_HO_soort";"wo-pim"
"INS_Vooropleiding_binnen_HO_soort";"hbo-vo/ma"
"INS_Vooropleiding_binnen_HO_soort";"hbo-ad"
"INS_Vooropleiding_binnen_HO_soort";"hbo-pim"
"INS_Hoogste_vooropleiding_soort_1CHO";"wo-on/ma"
"INS_Hoogste_vooropleiding_soort_1CHO";"hbo-p"
"INS_Hoogste_vooropleiding_soort_1CHO";"wo-ba"
"INS_Hoogste_vooropleiding_soort_1CHO";"overig"
"INS_Hoogste_vooropleiding_soort_1CHO";"wo-vo/ma/bf"
"INS_Hoogste_vooropleiding_soort_1CHO";"vwo"
"INS_Hoogste_vooropleiding_soort_1CHO";"hbo-ba"
"INS_Hoogste_vooropleiding_soort_1CHO";"wo-p"
"INS_Hoogste_vooropleiding_soort_1CHO";"havo"
"INS_Hoogste_vooropleiding_soort_1CHO";"mbo"
"INS_Hoogste_vooropleiding_soort_1CHO";"wo-pim"
"INS_Hoogste_vooropleiding_soort_1CHO";"vmbo"
"INS_Hoogste_vooropleiding_soort_1CHO";"hbo-vo/ma"
"INS_Hoogste_vooropleiding_soort_1CHO";"hbo-ad"
"INS_Hoogste_vooropleiding_soort_1CHO";"hbo-pim"
"INS_Inclusief_UvA";"Nee"
"INS_Inclusief_UvA";"Ja"
"INS_Premaster";"nee"
"INS_Premaster";"ja"
"INS_Faculteit";"SBE"
"INS_Faculteit";"FRT"
"INS_Faculteit";"BÈTA"
"INS_Faculteit";"THK"
"INS_Faculteit";"AUC"
"INS_Faculteit";"FGW"
"INS_Faculteit";"RCH"
"INS_Faculteit";"FGB"
"INS_Faculteit";"FSW"
"INS_Faculteit";"GNK"
"INS_Faculteit";"WZD"
"INS_Opleidingsvorm";"Voltijd"
"INS_Opleidingsvorm";"Deeltijd"
"INS_Opleidingsvorm";"Duaal"
"INS_Code_bekostiging";"N"
"INS_Code_bekostiging";"J"
"INS_Code_bekostiging";"H"
"INS_Code_bekostiging";"M"
"INS_Type_onderwijs";"ma"
"INS_Type_onderwijs";"ba"
"INS_Type_onderwijs";"pm"
"INS_Type_onderwijs";"pi"
"INS_Type_onderwijs";"on"
"INS_Diploma_opleidingsfase";"M"
"INS_Diploma_opleidingsfase";"B"
"INS_Diploma_opleidingsfase";"C"
"INS_Diploma_opleidingsfase";"Q"
"INS_Diploma_opleidingsfase";"Z"
"DEM_Geslacht";"M"
"DEM_Geslacht";"V"
"DEM_Geslacht";"O"
"INS_EER";"EER"
"INS_EER";"NL"
"INS_EER";"NIET-EER"
