from;to
00AC;Muziekschool Odeion
00AD;Alg Pedag Studiec Intern
00AE;Sch Adv Dienst Nijmegen
00AF;HET YSSELCOLLEGE
00AG;OPL OEFENTHERAPIE CESAR
00AH;Opb SGM t Stedelijk Lyceum
00AI;Consent
00AJ;Muz Centr Z Kennemerland
00AK;COA GRONINGEN
00AL;OND BEGELEID DIENST
00AM;ONDERWIJSADVIES
00AN;Sch Beg Dienst Z Vallei
00AO;De Bolster VSO ZMOK
00AP;WereldWijs
00AQ;Zwin College SGM
00AR;"BS ""De Maasparel"""
00AS;BASISINT STE MARIE
00AT;TECHN SCH DON BOSCO
00AU;Sch Raad PCO Flevoland
00AV;De Morgenster
00AW;Bergse Veld Sch SO/IOBK
00AX;Heldring College
00AY;Informatiseringsbank UO
00AZ;De Stapsteen
00BA;OBS De Klimboom
00BB;Obs Letterwies
00BC;Streekmuziekschool
00BD;Coenecoop College
00BE;Reg Ond Begeldienst Eeml
00BF;Cedin provincie Friesland
00BG;OBD Noordwest
00BH;Saxion Hogeschool Deventer
00BI;Expertis
00BJ;OCGH
00BK;THERESIA MAVO
00BL;Lusthof Peuterspeelzaal
00BM;KTU
00BN;Stg Oud Kath Seminarie
00BO;Evangelisch-Luth.
00BP;ORGAAN VOOR PATO
00BQ;Basisschool De Bouwsteen
00BR;SGM DE HOEKSE WAARD
00BS;Geref Basisschool
00BT;WERKGROEP BUITENLANDSE VROUWEN
00BU;DE PYLER
00BV;Inst voor Indust Advies
00BW;Jenaplanschool De Vlieger
00BX;Spil
00BY;CENTR SCHOOLADM AMERSF
00BZ;Geref SBO Het Speelwerk
00CA;Stg Vrienden Vrije Sch
00CB;SGM VO Vrije Schoolond
00CC;SGM Schouwen Duiveland
00CD;Basisschool De Lockaert
00CF;SSBO Driestromen
00CG;De Harlekijn
00CH;Schooladviescentrum Utr
00CI;KPC Ond Innovatie Centr
00CJ;Ond Beg Dienst NWN
00CK;STG GEORG WEZEN BER OND
00CL;Soc Hist Centrum
00CM;Muziekschool Waterland
00CN;ZIEKENHUISSCHOOL
00CO;SBD AM
00CP;Begeleidings Dnst Vr Sch
00CQ;KTUA
00CR;STG HET KURSUSHUIS
00CS;Basisschool De Leilinde
00CT;C C S
00CU;Basisschool Zilverlinde
00CV;School Matthijsje
00CW;Peuterspeelzaal
00CX;ALG CHR SGM RAVELYN
00CY;De Wiek
00CZ;MAVO BERGEYK
00DA;Chr BS Betrouwen
00DB;Peuterspeelzaal
00DC;CHR SCH V MAVO DE WELLE
00DD;Basissch Het Startnest
00DE;Platoschool
00DF;SGM DE WAARD
00DG;CHR SGM DELTA
00DH;WATERDAEL COLLEGE
00DI;rsg de Borgen
00DJ;ALOSTA MAVO
00DK;MLO KMLO
00DM;De Bolderik
00DN;De Bundeling
00DO;INOVA
00DP;BCO Onderwijsadvies
00DQ;Muziekschool De Meldy
00DR;Reg Sch Vr Mus Vorming
00DS;Contactcentr Ond Arb
00DT;OBD Noordwest Holland
00DU;Geref Pedagogisch Centrum
00DV;P TH U
00DW;De Trompetter
00DX;Vrije School Assen
00DY;Basisschool het Sterrenlicht
00DZ;Agnietenschool
00EA;KATH INST VR VTG SOC PED OPL
00EB;Bs Het Telraam
00EC;Sem Der Unie v Bapt Gem
00ED;School Best Kath B en SO
00EE;Dienstverlening Onderw
00EF;VOvA(3)
00EG;VVA IZ Maatkleding Goud
00EH;Speciaal Basisond. De Cirkel
00EI;Reform Basisschool
00EJ;SGM V MAVO LHNO EN IHNO
00EK;IVO MAVO SCH SKARABEE
00EL;VENTURI COLLEGE
00EM;SSBO De Wijngaard
00EN;MENSENDIECK INSTITUUT
00EO;Ned Afd vd Europese Sch
00EP;BESTUURSSCHOOL ZEELAND
00EQ;Muziekschool
00ER;Districtsgezondhdienst
00ES;FRIES AVONDCOLLEGE
00ET;CED-Groep
00EU;STG SCHOOLBEGELEIDING
00EV;DAS ZEELAND
00EW;Streekmuziekschool
00EX;OPB SGM AKKRUM GROU
00EY;RYKSHOGESCHOOL
00EZ;SBD Midden Twente
00FA;SOM
00FB;Peuterspeelz St Maarten
00FC;Flora School
00FD;MUZIEKSCH
00FE;De Halm
00FF;GBS Het Kompas
00FG;BS De Reflector
00FH;SGM MEAO MMO
00FI;Samenw Basisschool Pork
00FJ;DE WERF
00FK;ROTT INFORMATICA STIM OND PLAN
00FL;Apolloschool voor VBO
00FM;MDGO MAASTRICHT
00FN;STG TT BEHART D BELANGN
00FO;DOMINICUS SAVIO
00FP;PSZ VRYE SCH HILVERSUM
00FQ;Montessori BS De Kraal
00FR;ALG BYZ BASISSCHOOL
00FS;CHR SGM SPRENGELOO
00FT;VRONESTYN AC V GEZ ZORG LEIDEN
00FU;OLEANDERSCH
00FV;RYKS HOG LANDBOUWSCH
00FW;Stg. Strmuz. De Waldsang
00FX;Muzieksch Noord Twente
00FY;Kobalt Emmen
00FZ;Muziekschool Over-Betuwe
00GA;Bureaupers Ver voor MTS
00GB;Alg Muzieksch Z Gron
00GC;Stg School Advies Dienst
00GD;Alg Muzieksch Oost Gron
00GE;Stg SBD Rijnland
00GF;Stg Ond Begeleid Dienst
00GH;DIENSTSUBSIDIE
00GJ;De Kempen SBD
00GK;OBD De Langstraat
00GL;CIBB
00GM;Opl Verpleegk Friesland
00GN;De Toonladder 2
00GP;DE DRIEMASTER
00GQ;Rehoboth Basisschool
00GR;Kristal
00GS;CHR SCH  ROLANDUS
00GT;Albeda
00GU;De Reinboge
00GV;Basisschool Maria-School
00GW;Basisschool De Barte
00GX;RK BS St Jacobus
00GY;MAVO SCHOOL MARIA REGINA
00GZ;Maharishi Basisschool
00HA;Ref Basissch Augustinus
00HB;DEELTYD PROEFPROJ KMBO
00HC;NOREL NYLAND SCH V MDGO
00HD;De Waezenburg SGM
00HE;Aldenhof College SGM
00HF;INTERCONF SGM RYNBRUGHE
00HH;OBS De Vliete
00HI;SGM Dalton Vatel
00HJ;RPCZ
00HK;ICO
00HL;LEAO SCH GOUDA EO
00HM;Sch Pedagogisch Centrum
00HN;AVONDSCH V VOLW FLEVOL
00HO;DAG AVOND SGM
00HP;De Noordwester
00HQ;Contactcentrum Ond Arb
00HR;HCO
00HS;YPELAERCOLLEGE
00HT;De Hobbelhoek
00HU;De Opstap VSO LOM
00HV;Theol Faculteit Tilburg
00HW;Driestar Educatief
00HX;Peuterspeelzaal Berg
00HY;CHR SGM HILFERTSHEEM
00HZ;Klavertje 4
