from;to
00AC;BEEK LB
00AD;AMSTERDAM
00AE;NIJMEGEN
00AF;ZWOLLE
00AG;DEN DOLDER
00AH;ENSCHEDE
00AI;HEERLEN
00AJ;HAARLEM
00AK;GRONINGEN
00AL;WERKENDAM
00AM;ZOETERMEER
00AN;EDE GLD
00AO;VOORST GEM VOORST
00AP;ZOETERMEER
00AQ;OOSTBURG
00AR;STEVENSWEERT
00AS;HUIJBERGEN
00AT;AMSTERDAM
00AU;ALMERE
00AV;SPIJKENISSE
00AW;ROTTERDAM
00AX;ZETTEN
00AY;GRONINGEN
00AZ;BLESKENSGRAAF CA
00BA;HETEREN
00BB;NIEUWOLDA
00BC;HARDENBERG
00BD;WADDINXVEEN
00BE;AMERSFOORT
00BF;DRACHTEN
00BG;HOORN NH
00BH;DEVENTER
00BI;HENGELO OV
00BJ;HELMOND
00BK;ARNHEM
00BL;VOORBURG
00BM;UTRECHT
00BN;AMERSFOORT
00BO;UTRECHT
00BP;'S-GRAVENHAGE
00BQ;NEEDE
00BR;OUD-BEIJERLAND
00BS;NIEUWLEUSEN
00BT;VEGHEL
00BU;DONGEN
00BV;EMMEN
00BW;SITTARD
00BX;LEEUWARDEN
00BY;AMERSFOORT
00BZ;ZWOLLE
00CA;VENLO
00CB;NIJMEGEN
00CC;ZIERIKZEE
00CD;OSS
00CF;TIEL
00CG;LANDGRAAF
00CH;UTRECHT
00CI;'S-HERTOGENBOSCH
00CJ;VLAARDINGEN
00CK;UTRECHT
00CL;MAASTRICHT
00CM;PURMEREND
00CN;'S-GRAVENHAGE
00CO;AALSMEER
00CP;DRIEBERGEN-RIJSENBURG
00CQ;AMSTERDAM
00CR;TILBURG
00CS;WINSCHOTEN
00CT;'S-GRAVENHAGE
00CU;ROOSENDAAL
00CV;OOSTERSTREEK
00CW;'S-GRAVENHAGE
00CX;COEVORDEN
00CY;DRUNEN
00CZ;BERGEIJK
00DA;BAKKEVEEN
00DB;HOOFDDORP
00DC;AXEL
00DD;UITHOORN
00DE;AMSTERDAM
00DF;ZALTBOMMEL
00DG;AMSTERDAM
00DH;SOMEREN
00DI;LEEK
00DJ;ELST GLD
00DK;HENGELO OV
00DM;HEESWIJK-DINTHER
00DN;BUNDE
00DO;HOEK VAN HOLLAND
00DP;VENLO
00DQ;DRACHTEN
00DR;MEPPEL
00DS;ASSEN
00DT;ALKMAAR
00DU;ZWOLLE
00DV;AMSTERDAM
00DW;ANGERLO
00DX;ASSEN
00DY;'T HARDE
00DZ;ELBURG
00EA;NIJMEGEN
00EB;OEFFELT
00EC;BOSCH EN DUIN
00ED;VELDHOVEN
00EE;VELP GLD
00EF;AMSTERDAM
00EG;ALMERE
00EH;CAPELLE AAN DEN IJSSEL
00EI;KLAASWAAL
00EJ;RHENEN
00EK;TILBURG
00EL;KAMPEN
00EM;BARENDRECHT
00EN;AMSTERDAM
00EO;
00EP;GOES
00EQ;EDE GLD
00ER;EMMELOORD
00ES;LEEUWARDEN
00ET;ROTTERDAM
00EU;DELFT
00EV;VLISSINGEN
00EW;BOXTEL
00EX;AKKRUM
00EY;GRONINGEN
00EZ;HENGELO OV
00FA;TILBURG
00FB;VOORBURG
00FC;AALSMEER
00FD;NIEUWERKERK AD IJSSEL
00FE;ALMKERK
00FF;HARLINGEN
00FG;HENGELO OV
00FH;DOETINCHEM
00FI;TER APEL
00FJ;VOLLENHOVE
00FK;ROTTERDAM
00FL;AMSTERDAM
00FM;MAASTRICHT
00FN;EDE GLD
00FO;AMSTERDAM
00FP;HILVERSUM
00FQ;THOLEN
00FR;HARDENBERG
00FS;APELDOORN
00FT;LEIDEN
00FU;GELEEN
00FV;DEVENTER
00FW;BUITENPOST
00FX;ALMELO
00FY;EMMEN
00FZ;ELST GLD
00GA;DE BILT
00GB;STADSKANAAL
00GC;ROOSENDAAL
00GD;WINSCHOTEN
00GE;LEIDEN
00GF;ROERMOND
00GH;KROMMENIE
00GJ;EERSEL
00GK;WAALWIJK
00GL;'S-HERTOGENBOSCH
00GM;LEEUWARDEN
00GN;ARNHEM
00GP;RIDDERKERK
00GQ;ALPHEN AAN DEN RIJN
00GR;HEERDE
00GS;AMERSFOORT
00GT;ROTTERDAM
00GU;KUBAARD
00GV;VASSE
00GW;VROUWENPAROCHIE
00GX;VALBURG
00GY;VENLO
00GZ;LELYSTAD
00HA;ERMELO
00HB;GORINCHEM
00HC;APELDOORN
00HD;LEEK
00HE;HOENSBROEK
00HF;ARNHEM
00HH;WISSENKERKE
00HI;VOORBURG
00HJ;VLISSINGEN
00HK;ASSEN
00HL;GOUDA
00HM;SITTARD
00HN;LELYSTAD
00HO;WAGENINGEN
00HP;HARLINGEN
00HQ;'S-HERTOGENBOSCH
00HR;'S-GRAVENHAGE
00HS;HILVARENBEEK
00HT;VOORBURG
00HU;VLAARDINGEN
00HV;TILBURG
00HW;RIDDERKERK
00HX;AMERSFOORT
00HY;HILVERSUM
00HZ;OUDEWATER
00IA;ZAANDAM
00IB;VEGHEL
00IC;ZWOLLE
00ID;KAATSHEUVEL
00IE;LANDGRAAF
00IF;FLERINGEN
00IH;ARNHEM
00IJ;NIJVERDAL
00IK;LELYSTAD
00IL;MEPPEL
00IM;ARNEMUIDEN
00IN;WIJK EN AALBURG
00IP;HOOFDDORP
00IQ;AMSTERDAM
00IR;OUDE PEKELA
00IS;BUNNIK
00IT;KESTEREN
00IU;COEVORDEN
00IV;SLOCHTEREN
00IW;ROTTERDAM
00IX;DRACHTEN
00IY;GOUDA
00IZ;HOUTEN
00JA;UTRECHT
00JB;OOSTERBEEK
00JC;SNEEK
00JD;AMSTERDAM
00JE;UTRECHT
00JF;ERMELO
00JG;GORINCHEM
00JH;HOOGEVEEN
00JI;STADSKANAAL
00JJ;RHENEN
00JK;VEENENDAAL
00JL;AMERSFOORT
00JM;POELDIJK
00JN;DOETINCHEM
00JO;ROERMOND
00JP;THOLEN
00JQ;DIEREN
00JR;SCHIEDAM
00JS;DE LIER
00JT;AMERSFOORT
00JU;VLISSINGEN
00JV;EDE GLD
00JW;ZWOLLE
00JX;AMSTELVEEN
00JY;DEN HELDER
00JZ;MONSTER
00KA;HOOGVLIET ROTTERDAM
00KB;CAPELLE AAN DEN IJSSEL
00KC;STELLENDAM
00KD;ENSCHEDE
00KE;DEVENTER
00KF;ROTTERDAM
00KG;AMSTERDAM
00KH;GRONINGEN
00KI;MIDDELBURG
00KJ;BREDA
00KK;DORDRECHT
00KL;IJMUIDEN
00KM;HENGELO OV
00KN;
00KO;GRONINGEN
00KP;SITTARD
00KQ;OSS
00KR;ROSMALEN
00KS;TILBURG
00KT;UTRECHT
00KU;NIJMEGEN
00KV;ETTEN-LEUR
00KW;KESTEREN
00KX;ROERMOND
00KY;DELFT
00KZ;WAALWIJK
00LA;STADSKANAAL
00LB;ROTTERDAM
00LC;LEUSDEN
00LD;BEETSTERZWAAG
00LE;WEZEP
00LF;'S-GRAVENHAGE
00LG;BREDA
00LH;VELDHOVEN
00LI;SITTARD
00LJ;AALTEN
00LK;VENLO
00LL;LEEUWARDEN
00LM;DOESBURG
00LN;NIJMEGEN
00LO;VENLO
00LP;AMSTERDAM
00LQ;WOERDEN
00LR;LEEUWARDEN
00LS;WEERT
00LT;OMMEN
00LU;DE MEERN
00LV;'S-HERTOGENBOSCH
00LW;AMSTERDAM
00LX;TILBURG
00LY;TERNEUZEN
00LZ;SNEEK
00MA;AMERSFOORT
00MB;NIEUWEGEIN
00MC;LEEUWARDEN
00MD;ROERMOND
00ME;CAPELLE AAN DEN IJSSEL
00MF;UTRECHT
00MG;AMSTERDAM
00MH;SILVOLDE
00MI;BLADEL
00MJ;AMSTERDAM
00MK;ZEIST
00ML;AMERSFOORT
00MM;HELMOND
00MN;RIDDERKERK
00MO;LAREN NH
00MP;HEERDE
00MQ;HAARLEM
00MR;LISSE
00MS;HARDENBERG
00MT;HEERLEN
00MU;DRACHTEN
00MV;DEN HELDER
00MW;PAPENDRECHT
00MX;IJMUIDEN
00MY;TERNEUZEN
00MZ;WERVERSHOOF
00NA;EINDHOVEN
00NB;LEIDEN
00NC;HELMOND
00ND;HELMOND
00NE;HELMOND
00NF;AMSTELVEEN
00NG;'S-GRAVENHAGE
00NH;ENSCHEDE
00NI;VOORBURG
00NJ;WOERDEN
00NK;WOERDEN
00NL;ROTTERDAM
00NM;LEIDEN
00NN;ARNHEM
00NO;AMERONGEN
00NP;UDEN
00NQ;GELDROP
00NR;RAALTE
00NS;AMSTERDAM
00NT;OEGSTGEEST
00NU;BENNEBROEK
00NV;SCHIEDAM
00NW;BOLSWARD
00NX;GOUDA
00NY;THOLEN
00NZ;BUNDE
00OA;OPMEER
00OB;WIJCHEN
00OC;TIEL
00OD;EINDHOVEN
00OE;MAASSLUIS
00OF;LEIDEN
00OH;GELEEN
00OJ;MIDDELBURG
00OK;MIDDELBURG
00OL;SITTARD
00OM;AMSTERDAM
00ON;UBBERGEN
00OP;EMMEN
00OQ;LEIDEN
00OR;ARNHEM
00OS;UBBERGEN
00OT;HELMOND
00OU;ZEIST
00OV;GRONINGEN
00OW;ROTTERDAM
00OX;ROTTERDAM
00OY;EDE GLD
00OZ;DALFSEN
00PA;ZWARTSLUIS
00PB;FERWERT
00PC;ROTTERDAM
00PD;DELFZIJL
00PE;BARNEVELD
00PF;EMMEN
00PG;ROTTERDAM
00PH;ENSCHEDE
00PI;NEDERWEERT
00PJ;ZOETERMEER
00PK;UTRECHT
00PL;VENLO
00PM;HARLINGEN
00PN;UTRECHT
00PO;SOEST
00PP;UTRECHT
00PQ;UTRECHT
00PR;CULEMBORG
00PS;HILVERSUM
00PT;VEGHEL
00PU;UTRECHT
00PV;ROZENBURG ZH
00PW;MOLENHOEK LB
00PX;KERKRADE
00PY;UTRECHT
00PZ;DELFT
00QA;'S-GRAVENHAGE
00QB;ARNHEM
00QC;GROU
00QD;ROERMOND
00QE;'S-GRAVENHAGE
00QF;LEEUWARDEN
00QG;DEN BURG
00QH;AMSTERDAM
00QI;ZEIST
00QJ;'S-GRAVENHAGE
00QK;UTRECHT
00QL;UTRECHT
00QM;DELFT
00QN;LEIDEN
00QO;ENSCHEDE
00QP;LEIDEN
00QQ;UTRECHT
00QR;SANTPOORT-NOORD
00QS;HEERLEN
00QT;ROTTERDAM
00QU;AMSTERDAM
00QV;DORDRECHT
00QW;LEEUWARDEN
00QX;KRIMPEN AAN DEN IJSSEL
00QY;LEMMER
00QZ;AMSTERDAM
00RA;SCHIEDAM
00RB;ROTTERDAM
00RC;NIJMEGEN
00RD;ROTTERDAM
00RE;ROTTERDAM
00RF;AMSTERDAM
00RG;DRACHTEN
00RH;BEEK EN DONK
00RI;'S-GRAVENHAGE
00RJ;WAGENINGEN
00RK;DORDRECHT
00RL;HEERHUGOWAARD
00RM;ROTTERDAM
00RN;VOORSCHOTEN
00RO;VLEUTEN
00RP;ECHT
00RQ;AMSTELVEEN
00RR;AMSTERDAM
00RS;DRACHTEN
00RT;OSS
00RU;HOORN NH
00RV;HOORN NH
00RW;KERKRADE
00RX;KERKRADE
00RY;KERKRADE
00RZ;NIJMEGEN
00SB;GRONINGEN
00SC;PURMEREND
00SE;EDE GLD
00SF;DALFSEN
00SG;DOETINCHEM
00SH;MAASTRICHT
00SI;LEIDERDORP
00SJ;ZWOLLE
00SK;AMSTERDAM
00SL;HILVERSUM
00SM;NOORD-SCHARWOUDE
00SN;ELBURG
00SO;LICHTENVOORDE
