from;to
00AC;6191
00AD;1081
00AE;6525
00AF;8021
00AG;3734
00AH;7522
00AI;6411
00AJ;2011
00AK;9718
00AL;4251
00AM;2722
00AN;6711
00AO;7383
00AP;2716
00AQ;4501
00AR;6107
00AS;4635
00AT;1093
00AU;1351
00AV;3201
00AW;3055
00AX;6671
00AY;9722
00AZ;2971
00BA;6666
00BB;9944
00BC;7772
00BD;2741
00BE;3816
00BF;9202
00BG;1625
00BH;7417
00BI;7556
00BJ;5707
00BK;6828
00BL;2271
00BM;3584
00BN;3818
00BO;3533
00BP;2514
00BQ;7161
00BR;3262
00BS;7711
00BT;5463
00BU;5101
00BV;7811
00BW;6131
00BX;8921
00BY;3818
00BZ;8031
00CA;5912
00CB;6524
00CC;4301
00CD;5345
00CF;4002
00CG;6372
00CH;3563
00CI;5223
00CJ;3131
00CK;3522
00CL;6211
00CM;1441
00CN;2593
00CO;1431
00CP;3972
00CQ;1015
00CR;5046
00CS;9671
00CT;2514
00CU;4707
00CV;8388
00CW;2566
00CX;7741
00CY;5151
00CZ;5571
00DA;9243
00DB;2131
00DC;4571
00DD;1422
00DE;1076
00DF;5301
00DG;1091
00DH;5711
00DI;9351
00DJ;6661
00DK;7556
00DM;5473
00DN;6241
00DO;3151
00DP;5912
00DQ;9203
00DR;7941
00DS;9401
00DT;1817
00DU;8012
00DV;1081
00DW;6986
00DX;9404
00DY;8084
00DZ;8081
00EA;6525
00EB;5441
00EC;3735
00ED;5504
00EE;6883
00EF;1079
00EG;1351
00EH;2907
00EI;3286
00EJ;3911
00EK;5046
00EL;8265
00EM;2992
00EN;1018
00EO;
00EP;4461
00EQ;6715
00ER;8303
00ES;8933
00ET;3068
00EU;2611
00EV;4383
00EW;5281
00EX;8491
00EY;9713
00EZ;7557
00FA;5022
00FB;2271
00FC;1431
00FD;2912
00FE;4286
00FF;8862
00FG;7557
00FH;7006
00FI;9561
00FJ;8325
00FK;3012
00FL;1081
00FM;6211
00FN;6715
00FO;1061
00FP;1223
00FQ;4691
00FR;7772
00FS;7313
00FT;2333
