from;to
beschikking CvB;VO Overig
beschikking ministerie;VO Overig
buitenlands diploma;Buitenland
getuigschriften;VO Overig
havo oude stijl;VO Overig
havo profiel;VO Overig
hbo-ad;HBO-Overig
hbo-ba;HBO-BA
hbo-p;HBO-P
hbo-pim;HBO-Overig
hbo-vo/ma;HBO-Overig
mbo;VO Overig
onbekend;Onbekend
overig / colloquim. Doctum;VO Overig
overig / colloquium. Doctum;VO Overig
vmbo;VO Overig
vwo oude stijl;VWO
vwo profiel;VWO
wo-ba;WO-BA
wo-on/ma;WO-MA
wo-p;WO-Overig
wo-pim;WO-PIM
wo-vo/ma/bf;WO-MA
wo;WO-BA
onbek;Onbekend
hbo-p;HBO-P
vwo;VWO
hbo;HBO-BA
wo-p;WO-Overig
overi;Onbekend
havo;VO Overig
buite;Buitenland
mbo;VO Overig
