from;to
01020;Commerciele bedrijfskunde
01021;Bedrijfskunde algemeen
01022;Overheid en Onderneming
01023;Politiek en Beleid
01024;Lokaal bestuur en beleid
01025;Cultuurgeschiedenis
01026;Kunstbeleid
01027;Literatuurwetenschap
01028;Filosofie
01029;Financieel economisch overheidsbeleid
01030;Bestuurlijke Informatiekunde
01031;Toegepaste oecologie
01032;Milieu en chemie
01033;Geosystemen
01034;Ecotoxicologie
01035;Milieumanagement
01036;Mens en Techniek
01037;Inrichting werkplek
01038;Onderwijsorganisatie
01039;Personeel en organisatie
01040;Methoden en technieken Sociale Wetenschappen
01041;Allochtonen en minderheden
01042;Informatica onderbouw
01043;Informatietechnologie
01044;Informatica
01045;Wiskunde onderbouw
01046;Personeelsmanagement
01047;Onderwijs
04001;Opleiding tolk-vertaler
04003;Bedrijfsleer
04004;Opleiding tot tolk-vertaler
04005;Congrestolk Russisch
04006;Kort HBO bedrijfseconomisch management
04007;Bachelor hotel- of toeristisch management
04008;Bachelor small business and retail management
04011;Kort HBO secretarieel medewerker
04012;Hoger financieel economisch management
04013;Bedrijfsmanagement toerisme en recreatie
04014;Kort HBO Business Administration
04015;Management - ondersteuning
04016;Natuurlijk genezer
04017;Integrale veiligheidszorg
04018;Transport
04019;Vrije studierichting
04020;Makelaardij o.g. (3-jarig)
04021;Financieel management (MBA/SPD) (1-jarig)
04022;Financieel management (MBA/SPD) (2-jarig)
04023;Assurantie (2-jarig)
04024;Assurantie (3-jarig)
04025;Office management (2-jarig)
04026;Commercieel Management (2-jarig)
04027;Toeristisch management (2-jarig)
04028;Marketing management (1-jarig)
04029;Marketing management (3-jarig)
04030;Hoger Toeristisch Management
04031;Toerisme (1-jarig)
04032;Toerisme (2-jarig)
04035;Bedrijfskunde
04036;Communicatiemanagement
04038;Marketing en logistiek
04040;Sport en bewegen
04041;Trade management gericht op Azie
04042;Assurantie (4-jarig)
04043;Bank en verzekeringen
04045;Office Management (3-jarig)
04046;Office Management (4-jarig)
04047;HBO lichaamsverzorging
04048;Kort HBO lichaamsverzorging
04049;Marketing Management (4-jarig)
04052;Account Management (4-jarig)
04055;Toeristisch Management (4-jarig)
04056;Opleiding tot vertaler (4-jarig)
04057;Sport, gezondheid en management
04058;HTO-Telecommunicatie
04059;Sport en Bewegingseducatie
