from;to
0;onbekend
101;(v)mbo
102;(v)mbo
103;(v)mbo
104;(v)mbo
105;(v)mbo
106;(v)mbo
107;(v)mbo
108;(v)mbo
109;(v)mbo
110;(v)mbo
111;(v)mbo
112;(v)mbo
113;(v)mbo
114;(v)mbo
115;(v)mbo
116;(v)mbo
117;(v)mbo
118;(v)mbo
119;(v)mbo
120;(v)mbo
126;(v)mbo
127;(v)mbo
128;(v)mbo
129;(v)mbo
130;(v)mbo
131;(v)mbo
132;(v)mbo
133;(v)mbo
134;(v)mbo
135;(v)mbo
136;(v)mbo
137;(v)mbo
138;(v)mbo
139;(v)mbo
140;(v)mbo
151;(v)mbo
152;(v)mbo
153;(v)mbo
154;(v)mbo
155;(v)mbo
161;(v)mbo
162;(v)mbo
163;(v)mbo
164;(v)mbo
165;(v)mbo
200;NA
201;havo
202;havo
203;havo
204;havo
205;havo
206;havo
207;havo
208;havo
209;havo
210;havo
211;havo
301;(v)mbo
302;(v)mbo
303;(v)mbo
304;(v)mbo
305;(v)mbo
400;NA
401;vwo
402;vwo
403;vwo
404;vwo
405;vwo
406;vwo
407;vwo
408;vwo
409;vwo
410;vwo
411;vwo
501;overig
502;buitenland
503;overig
504;buitenland
505;overig
506;overig
600;hbo-p
601;hbo-p
602;hbo-p
603;hbo-p
604;hbo-p
605;hbo-p
606;hbo-p
607;hbo-p
608;hbo-p
609;hbo-p
610;hbo-p
611;hbo-p
651;hbo-ad
652;hbo-ad
653;hbo-ad
654;hbo-ad
655;hbo-ad
656;hbo-ad
657;hbo-ad
658;hbo-ad
659;hbo-ad
660;hbo-ad
661;hbo-ad
701;wo-p
702;wo-p
703;wo-p
704;wo-p
705;wo-p
706;wo-p
707;wo-p
708;wo-p
709;wo-p
710;wo-p
711;wo-p
801;hbo
802;hbo
803;hbo
804;hbo
805;hbo
806;hbo
807;hbo
808;hbo
809;hbo
810;hbo
811;hbo
901;wo
902;wo
903;wo
904;wo
905;wo
906;wo
907;wo
908;wo
909;wo
910;wo
911;wo
1001;hbo
1002;hbo
1003;hbo
1004;hbo
1005;hbo
1006;hbo
1007;hbo
1008;hbo
1009;hbo
1010;hbo
1011;hbo
1101;wo
1102;wo
1103;wo
1104;wo
1105;wo
1106;wo
1107;wo
1108;wo
1109;wo
1110;wo
1111;wo
1201;wo
1202;wo
1203;wo
1204;wo
1205;wo
1206;wo
1207;wo
1208;wo
1209;wo
1210;wo
1211;wo
1301;hbo-p
1302;hbo-p
1303;hbo-p
1304;hbo-p
1305;hbo-p
1306;hbo-p
1307;hbo-p
1308;hbo-p
1309;hbo-p
1310;hbo-p
1311;hbo-p
1351;wo
1352;wo
1353;wo
1354;wo
1355;wo
1356;wo
1357;wo
1358;wo
1359;wo
1360;wo
1361;wo
