from;to
00000;vooropleiding onbekend
00101;mbo algemeen niveau 1
00102;mbo economie niveau 1
00103;mbo zorg en welzijn niveau 1
00104;mbo landbouw niveau 1
00105;mbo techniek niveau 1
00106;vbo algemeen
00107;vbo economie
00108;vbo zorg en welzijn
00109;vbo landbouw
00110;vbo techniek
00111;vmbo basisbg lw leerwerktraject intersectoraal
00112;vmbo basisbg lw leerwerktraject economie
00113;vmbo basisbg lw leerwerktraject zorg en welzijn
00114;vmbo basisbg lw leerwerktraject landbouw
00115;vmbo basisbg lw leerwerktraject techniek
00116;vmbo basisberoepsgerichte leerweg intersectoraal
00117;vmbo basisberoepsgerichte leerweg economie
00118;vmbo basisberoepsgerichte leerweg zorg en welzijn
00119;vmbo basisberoepsgerichte leerweg landbouw
00120;vmbo basisberoepsgerichte leerweg techniek
00126;vmbo kaderberoepsgerichte leerweg intersectoraal
00127;vmbo kaderberoepsgerichte leerweg economie
00128;vmbo kaderberoepsgerichte leerweg zorg en welzijn
00129;vmbo kaderberoepsgerichte leerweg landbouw
00130;vmbo kaderberoepsgerichte leerweg techniek
00131;vmbo gemengde leerweg intersectoraal
00132;vmbo gemengde leerweg economie
00133;vmbo gemengde leerweg zorg en welzijn
00134;vmbo gemengde leerweg landbouw
00135;vmbo gemengde leerweg techniek
00136;vmbo theoretische leerweg/mavo
00137;vmbo theoretische leerweg/mavo profiel economie
00138;vmbo theoretische leerweg/mavo profiel zorg en welzijn
00139;vmbo theoretische leerweg/mavo profiel landbouw
00140;vmbo theoretische leerweg/mavo profiel techniek
00151;mbo algemeen niveau 2
00152;mbo economie niveau 2
00153;mbo zorg en welzijn niveau 2
00154;mbo landbouw niveau 2
00155;mbo techniek niveau 2
00161;mbo algemeen niveau 3
00162;mbo economie niveau 3
00163;mbo zorg en welzijn niveau 3
00164;mbo landbouw niveau 3
00165;mbo techniek niveau 3
00200;havo certificaat
00201;havo algemeen
00202;havo profiel cultuur & maatschappij
00203;havo profiel economie & maatschappij
00204;havo profiel economie/maatschappij & cultuur/maatschappij
00205;havo profiel natuur & gezondheid
00206;havo profiel natuur/gezondheid & cultuur/maatschappij
00207;havo profiel natuur/gezondheid & economie/maatschappij
00208;havo profiel natuur & techniek
00209;havo profiel natuur/techniek & cultuur/maatschappij
00210;havo profiel natuur/techniek & economie/maatschappij
00211;havo profiel natuur/techniek & natuur/gezondheid
00301;mbo algemeen niveau 4
00302;mbo economie niveau 4
00303;mbo zorg en welzijn niveau 4
00304;mbo landbouw niveau 4
00305;mbo techniek niveau 4
00400;vwo certificaat
00401;vwo algemeen
00402;vwo profiel cultuur & maatschappij
00403;vwo profiel economie & maatschappij
00404;vwo profiel economie/maatschappij & cultuur/maatschappij
00405;vwo profiel natuur & gezondheid
00406;vwo profiel natuur/gezondheid & cultuur/maatschappij
00407;vwo profiel natuur/gezondheid & economie/maatschappij
00408;vwo profiel natuur & techniek
00409;vwo profiel natuur/techniek & cultuur/maatschappij
00410;vwo profiel natuur/techniek & economie/maatschappij
00411;vwo profiel natuur/techniek & natuur/gezondheid
00501;overig getuigschriften
00502;overig buitenlands diploma / Europees baccalaureaat
00503;overig beschikking College van Bestuur
00504;overig ministriele beschikking
00505;overig toelatingsexamen
00506;overig coll.doc./ vooropl.onderzoek / besch.CvB / verkl.toets.cie ma-opl
00600;hbo-p beschikking
00601;hbo-p algemeen
00602;hbo-p taal en cultuur
00603;hbo-p gedrag en maatschappij
00604;hbo-p economie
00605;hbo-p recht
00606;hbo-p gezondheidszorg
00607;hbo-p onderwijs
00608;hbo-p landbouw
00609;hbo-p techniek
00610;hbo-p natuur
00611;hbo-p sectoroverstijgend
00651;hbo-ad algemeen
00652;hbo-ad taal en cultuur
00653;hbo-ad gedrag en maatschappij
00654;hbo-ad economie
00655;hbo-ad recht
00656;hbo-ad gezondheidszorg
00657;hbo-ad onderwijs
00658;hbo-ad landbouw
00659;hbo-ad techniek
00660;hbo-ad natuur
00661;hbo-ad sectoroverstijgend
00701;wo-p algemeen
00702;wo-p taal en cultuur
00703;wo-p gedrag en maatschappij
00704;wo-p economie
00705;wo-p recht
00706;wo-p gezondheidszorg
00707;wo-p onderwijs
00708;wo-p landbouw
00709;wo-p techniek
00710;wo-p natuur
00711;wo-p sectoroverstijgend
00801;hbo-ba algemeen
00802;hbo-ba taal en cultuur
00803;hbo-ba gedrag en maatschappij
00804;hbo-ba economie
00805;hbo-ba recht
00806;hbo-ba gezondheidszorg
00807;hbo-ba onderwijs
00808;hbo-ba landbouw
00809;hbo-ba techniek
00810;hbo-ba natuur
00811;hbo-ba sectoroverstijgend
00901;wo-ba algemeen
00902;wo-ba taal en cultuur
00903;wo-ba gedrag en maatschappij
00904;wo-ba economie
00905;wo-ba recht
00906;wo-ba gezondheidszorg
00907;wo-ba onderwijs
00908;wo-ba landbouw
00909;wo-ba techniek
00910;wo-ba natuur
00911;wo-ba sectoroverstijgend
01001;hbo-vo/ma algemeen
01002;hbo-vo/ma taal en cultuur
01003;hbo-vo/ma gedrag en maatschappij
01004;hbo-vo/ma economie
01005;hbo-vo/ma recht
