from;to
06001;06803
06002;06002
06003;06003
06004;06004
06006;06006
06010;06805
06011;06806
06012;06012
06034;06034
06040;06040
06049;06826
06059;06803
06064;06826
06071;06803
06073;55822
06081;06081
06082;06081
06100;06100
06107;06100
06114;50910
06151;06980
06155;06984
06156;06857
06159;06986
06161;06860
06162;06989
06164;06978
06167;06167
06169;06169
06171;06986
06181;06978
06184;06857
06188;06403
06189;06842
06196;06984
06197;06986
06208;06986
06401;06401
06403;06403
06404;06404
06411;06411
06412;06403
06415;06834
06439;06451
06451;06451
06452;06452
06457;06451
06469;06469
06551;06551
06557;06990
06560;06560
06580;06551
06601;06601
06604;06604
06606;06606
06607;06607
06608;06608
06613;06613
06614;06614
06619;06601
06620;06838
06643;06981
06703;06825
06704;06704
06710;55822
06802;06002
06803;06803
06804;06004
06805;06805
06806;06806
06808;06006
06817;06817
06823;55822
06824;55822
06825;06825
06826;06826
06828;06452
06833;06403
06834;06834
06840;06980
06842;06842
06844;06984
06856;06167
06857;06857
06858;06986
06859;06986
06860;06860
06861;06986
06862;06986
06863;06857
06864;06989
06865;06990
06950;06950
06978;06978
06980;06980
06981;06981
06984;06984
06986;06986
06988;06988
06989;06989
06990;06990
07084;07084
07404;07404
08003;08003
08004;08004
08006;08006
08010;08010
08011;08011
08034;08034
08151;08151
08155;08155
08156;08156
08161;08161
08176;08176
08401;08401
08403;08403
08618;08618
50005;06614
50007;50007
50035;06614
50393;50393
50426;06978
50509;50509
50645;06834
50668;50668
50670;50670
50700;06451
50800;50800
50902;50910
50910;50910
50950;06401
50952;06834
54999;54999
55002;50393
55004;06100
55012;06857
55013;06984
55822;55822
55823;55823
56003;06003
56034;06034
56081;06081
56100;06100
56109;06100
56114;50910
56401;06401
56451;06451
56469;06469
56551;06551
56553;06851
56560;06560
56601;06601
56604;06604
56606;06606
56607;06607
56614;06614
56615;06615
56619;06601
56703;06825
56704;06704
56802;06002
56803;06803
56804;06004
56805;06805
56806;06806
56808;06006
56823;55822
56824;55822
56825;06825
56826;06826
56828;06452
56833;06403
56834;06834
56842;06842
56851;06851
56856;06167
56857;06857
56860;06860
56869;06842
56945;06981
56950;06950
56978;06978
56980;06980
56981;06981
56983;06981
56984;06984
56986;06986
56989;06989
56990;06990
59322;06980
59324;06990
59334;59334
60036;60958
60037;60836
60038;60958
60039;60039
60040;66826
60041;60958
60042;60822
60043;60822
60044;66986
60045;60045
60046;60046
60047;60047
60048;60048
60049;60049
60050;60050
60051;60051
60052;60052
60053;60053
60072;60072
60084;66451
60087;60087
60106;65020
60115;60958
60139;60958
60162;65027
60202;65016
60203;60203
60254;60824
60255;60255
60260;60260
60290;60290
60291;60291
60297;60958
60300;65014
60332;60051
60362;60362
60365;60365
60368;60368
60374;60087
60390;60390
60408;60408
60444;60444
60471;60471
60505;60505
60510;60510
60513;60513
60607;60365
60616;60616
60644;60644
60665;60665
60685;60685
60720;60958
60800;60800
60801;60801
60802;60802
60803;60803
60805;60805
60806;60806
60807;60807
60808;60808
60811;60811
60812;60812
60813;60813
60814;60958
60815;60815
60817;60958
60821;60821
60822;60822
60823;60823
60824;60824
60825;60825
60827;60827
60829;60958
60836;60836
60849;60849
60958;60958
60968;60968
60970;60970
65000;60505
65006;65006
65008;65008
65012;66857
65014;65014
65015;65015
65016;65016
65020;65020
65024;65024
65026;65026
65027;65027
66003;60821
66034;66034
66081;60822
66107;60824
66109;60825
66114;60824
66118;60827
66401;66401
66451;66451
66469;66469
66551;66551
66560;66588
66586;66586
66588;66588
66601;66601
66607;66607
66615;66615
66619;66601
66627;66627
66704;60821
66724;66724
66802;66802
66803;60815
66804;66804
66805;66805
66806;66806
66808;66808
66823;60087
66824;60087
66825;60805
66826;66826
66827;66827
66828;66828
66833;66833
66851;66851
66856;66856
66857;66857
66860;66860
66861;66860
66862;66990
66903;66903
66950;66950
66980;66980
66981;66981
66986;66986
66989;66989
66990;66990
67084;60823
68003;08003
68004;08004
68006;08006
68010;08010
68011;08011
68017;68017
68034;08034
68041;08041
68151;08151
68155;08155
68156;08156
68161;08161
68176;08176
68401;08401
68403;08403
68500;08176
68501;08401
68502;08161
68503;08010
68504;08011
68506;08034
68507;68017
68509;08618
68511;08155
68512;08004
68513;08156
68516;08151
68517;08006
68518;08403
68519;08003
68520;08041
68530;68536
68532;68532
68533;68533
68534;68534
68535;68535
68536;68536
68618;08618
69317;69317
69320;69320
69324;69324
69333;69333
70047;70047
70048;70048
70168;70168
75017;75017
75019;75019
75040;75040
75068;75068
75070;75070
75076;75076
75100;75100
75112;75112
75123;75123
75128;75128
75129;75129
75134;75134
75152;75152
75153;75153
